id,name,section,enrollmentCode
867771078806,07. 7-Б клас. Мистецтво (2026-2027),,iztcexxv
867772180108,07. 7-Б клас. Технології (2026-2027),,paznn7o3
867772317982,07. 7-Б клас. Інформатика (2026-2027),,iktrt4pw
867771860554,07. 7-Б клас. Хімія (2026-2027),,smj3scsz
867771913607,07. 7-Б клас. Фізика (2026-2027),,rhaojump
867772389535,07. 7-Б клас. Всесвітня історія (2026-2027),,y2xmekel
867768967194,07. 7-Б клас. Геометрія (2026-2027),,4ow5uis3
867772375837,07. 7-Б клас. Алгебра (2026-2027),,4aq6mj32
867770234674,07. 7-Б клас. Біологія (2026-2027),,bpnqcogl
867771022512,07. 7-Б клас. Географія (2026-2027),,slbxweab
867770967420,07. 7-Б клас. Друга іноземна мова (Німецька) (2026-2027),,njpgjsxw
867770573684,07. 7-Б клас. Історія України (2026-2027),,3n56mavg
867772300908,07. 7-Б клас. Англійська мова (2026-2027),,rkv3vwp2
798179972721,07. 7-Б клас. Зарубіжна література (2026-2027),,bjncex3n
867771996617,07. 7-Б клас. Українська література (2026-2027),,hyvf4tkq
867772395274,07. 7-Б клас. Українська мова (2026-2027),,pzso3xmq
867772249264,07. 7-А клас. Основи християнської етики (2026-2027),,6vktj5cv
867772322007,07. 7-А клас. Здоров'я безпека та добробут (2026-2027),,44yvee63
867771845048,07. 7-А клас. Фізична культура (2026-2027),,lusvwk3i
867772226880,07. 7-А клас. Технології (2026-2027),,fpc5cyc2
867771941933,07. 7-А клас. Фізика (2026-2027),,ncdktcom
867772250945,07. 7-А клас. Мистецтво (2026-2027),,7c557it6
867771778996,07. 7-А клас. Хімія (2026-2027),,fbigulr7
867772359839,07. 7-А клас. Інформатика (2026-2027),,qelydw5l
867771237384,07. 7-А клас. Географія (2026-2027),,zwn26ztl
867765734795,07. 7-А клас. Геометрія (2026-2027),,dkm7hqwr
867771696994,07. 7-А клас. Біологія (2026-2027),,divse3jp
867771753776,07. 7-А клас. Всесвітня історія (2026-2027),,5dlgt7k3
867772416483,07. 7-А клас. Історія України (2026-2027),,mwbmv2wj
867772691200,07. 7-А клас. Алгебра (2026-2027),,hgogeb5u
867772479478,07. 7-А клас. Англійська мова (2026-2027),,f2xxfxya
867772051115,07. 7-А клас. Українська література (2026-2027),,lo6o4imt
867754393159,07. 7-А клас. Зарубіжна література (2026-2027),,e5dtyz6s
798180293763,07. 7-А клас. Друга іноземна мова (Німецька) (2026-2027),,fogy342o
867772402658,07. 7-А клас. Українська мова (2026-2027),,263kjet6
867772427865,07. 7 клас. Екстернат (2026-2027),,7vclsr5c
867762797896,06. 6-Г клас. Математика (2026-2027),,zg2bq5bv
867763366407,06. 6-Г клас. Українська мова (2026-2027),,xmap25y7
867763715491,06. 6-Г клас. Англійська мова (Гр. 2) (2026-2027),,wlliok6e
798178933434,06. 6-Г клас. Англійська мова (Гр. 1) (2026-2027),,42uoiizi
867762116767,06. 6-Г клас. Українська література (2026-2027),,dpyq6mvs
867762729989,06. 6-Г клас. Історія України. Всесвітня історія (2026-2027),,e4xnldin
867762999863,06. 6-Г клас. Географія (2026-2027),,2qt7x4r2
867763686035,06. 6-Г клас. Зарубіжна література (2026-2027),,r2m26lsz
867763210300,06. 6-Г клас. Пізнаємо природу (2026-2027),,gu5wxplz
867763725434,06. 6-Г клас. Інформатика (Гр. 1) (2026-2027),,arzetocm
867762791806,06. 6-Г клас. Технології (Трудове) (Гр. 1) (2026-2027),,nefbnbfe
867763359013,06. 6-Г клас. Інформатика (Гр. 2) (2026-2027),,ccpjzw6d
867741511686,06. 6-Г клас. Физична культура (2026-2027),,dsdxjlx5
867763399459,06. 6-Г клас. Технології (Трудове) (Гр. 2) (2026-2027),,oz2e4bhh
867763357503,06. 6-Г клас. Мистецтво (2026-2027),,dekyeaz7
867763748582,06. 6-Г клас. Друга мова (Польська) (Гр. 1) (2026-2027),,7i5t5ai2
867763215828,06. 6-Г клас. Логіка (2026-2027),,smjfyylg
867762079910,06. 6-Г клас. Друга мова (Польська) (Гр. 2) (2026-2027),,ms6bzgvs
867762936779,06. 6-Г клас. Основи християнської етики (2026-2027),,hmmebfwu
798179020268,06. 6-В клас. Математика (2026-2027),,d2cqx4zf
867760860680,06. 6-В клас. Українська мова (2026-2027),,e6hgr6pl
867763730143,06. 6-В клас. Англійська мова (Гр. 2) (2026-2027),,2ifivaon
867762429077,06. 6-В клас. Англійська мова (Гр. 1) (2026-2027),,ajrgol7p
867763038604,06. 6-В клас. Українська література (2026-2027),,36rmw2sj
867763072279,06. 6-В клас. Історія України. Всесвітня історія (2026-2027),,u7oxobsv
867762902234,06. 6-В клас. Географія (2026-2027),,3smpaku6
867762495288,06. 6-В клас. Зарубіжна література (2026-2027),,ec3e3de5
867763047529,06. 6-В клас. Пізнаємо природу (2026-2027),,l23pvtff
798179101024,06. 6-В клас. Інформатика (Гр. 1) (2026-2027),,oelzdnav
867763521859,06. 6-В клас. Технології (Трудове) (Гр. 1) (2026-2027),,ioeca4cj
798179110978,06. 6-В клас. Інформатика (Гр. 2) (2026-2027),,wrqb7c3q
867762898271,06. 6-В клас. Физична культура (2026-2027),,q5dc4eq2
867763692659,06. 6-В клас. Технології (Трудове) (Гр. 2) (2026-2027),,umabj5kd
867762797851,06. 6-В клас. Мистецтво (2026-2027),,uai4ujno
867763314845,06. 6-В клас. Друга мова (Польська) (Гр. 1) (2026-2027),,2bxgen6j
867762614695,06. 6-В клас. Логіка (2026-2027),,wpwve5t5
867763212206,06. 6-В клас. Друга мова (Польська) (Гр. 2) (2026-2027),,jy6kjuxa
867763549591,06. 6-В клас. Основи християнської етики (2026-2027),,xleulwbl
867763058851,06. 6-Б клас. Математика (2026-2027),,5bivavyh
867763645074,06. 6-Б клас. Українська мова (2026-2027),,pbjzw624
798179126950,06. 6-Б клас. Англійська мова (Гр. 2) (2026-2027),,y3edpcdm
867763811471,06. 6-Б клас. Англійська мова (Гр. 1) (2026-2027),,sm3jxnwb
867763065545,06. 6-Б клас. Українська література (2026-2027),,hsqe37aa
867761949865,06. 6-Б клас. Історія України. Всесвітня історія (2026-2027),,snpjiw6t
867763619384,06. 6-Б клас. Географія (2026-2027),,lz2kedhm
867763175510,06. 6-Б клас. Зарубіжна література (2026-2027),,dh3pxc7y
867759717100,06. 6-Б клас. Пізнаємо природу (2026-2027),,gbe5uaal
867761765359,06. 6-Б клас. Інформатика (Гр. 1) (2026-2027),,zqhbrgh7
867762809146,06. 6-Б клас. Технології (Трудове) (Гр. 1) (2026-2027),,mhqx2gn6
867761126257,06. 6-Б клас. Інформатика (Гр. 2) (2026-2027),,cee63n6p
867763327529,06. 6-Б клас. Физична культура (2026-2027),,gjphxc23
867763149978,06. 6-Б клас. Технології (Трудове) (Гр. 2) (2026-2027),,ho6vavdi
867763542454,06. 6-Б клас. Мистецтво (2026-2027),,t55xhzut
